customer_id,rank,product_id,product_name,category,brand,price,popularity,total_revenue,final_score,cluster_id,cluster_prob,preferred_cluster,strategy,reasons,cluster_score,popularity_score,revenue_score,price_score
C00001,1,P02654,Valspar 1 Quart Specialty Paints,Paints & Coatings,Valspar,91.7,18,41020.49,0.580432,1,1.0,1,balanced,Matches your purchase pattern | Good price match,1.0,0.5455,0.1674,0.919
C00001,2,P02499,PPG 1 Gallon Stains,Paints & Coatings,PPG,27.55,21,13303.04,0.567398,1,1.0,1,balanced,Matches your purchase pattern | Good price match,1.0,0.6364,0.0543,0.8618
C00001,3,P02376,Valspar 1 Quart Exterior Latex Paint,Paints & Coatings,Valspar,69.01,15,30168.14,0.565143,1,1.0,1,balanced,Matches your purchase pattern | Good price match,1.0,0.4545,0.1231,0.9974
C00002,1,P02088,GRK Model 828 Concrete Screws,Fasteners,GRK,97.57,12,66967.72,0.577395,3,1.0,3,balanced,Matches your purchase pattern | Good price match,1.0,0.3636,0.2734,1.0
C00002,2,P01829,Grip-Rite Model 129 Deck Screws,Fasteners,Grip-Rite,117.72,11,72367.29,0.574965,3,1.0,3,balanced,Matches your purchase pattern | Good price match,1.0,0.3333,0.2954,0.9948
C00002,3,P01864,GRK Model 544 Deck Screws,Fasteners,GRK,98.23,12,58447.04,0.570442,3,1.0,3,balanced,Matches your purchase pattern | Good price match,1.0,0.3636,0.2386,1.0
C00003,1,P04806,Milwaukee Model 328 Safety Vests,Safety Equipment,Milwaukee,30.0,26,9243.17,0.603503,6,1.0,6,balanced,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0377,0.9225
C00003,2,P03968,Carrier Model 919 Duct Tape,HVAC,Carrier,18.1,27,1415.39,0.599718,6,1.0,6,balanced,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8182,0.0058,0.8995
C00003,3,P04688,Milwaukee Model 728 Hard Hats,Safety Equipment,Milwaukee,44.36,24,12615.0,0.597769,6,1.0,6,balanced,Matches your purchase pattern | Good price match,1.0,0.7273,0.0515,0.9468
C00004,1,P02088,GRK Model 828 Concrete Screws,Fasteners,GRK,97.57,12,66967.72,0.577139,3,1.0,3,balanced,Matches your purchase pattern | Good price match,1.0,0.3636,0.2734,0.9983
C00004,2,P01829,Grip-Rite Model 129 Deck Screws,Fasteners,Grip-Rite,117.72,11,72367.29,0.572317,3,1.0,3,balanced,Matches your purchase pattern | Good price match,1.0,0.3333,0.2954,0.9771
C00004,3,P01864,GRK Model 544 Deck Screws,Fasteners,GRK,98.23,12,58447.04,0.570136,3,1.0,3,balanced,Matches your purchase pattern | Good price match,1.0,0.3636,0.2386,0.9979
C00005,1,P04688,Milwaukee Model 728 Hard Hats,Safety Equipment,Milwaukee,44.36,24,12615.0,0.593428,6,1.0,6,balanced,Matches your purchase pattern | Good price match,1.0,0.7273,0.0515,0.9178
C00005,2,P04806,Milwaukee Model 328 Safety Vests,Safety Equipment,Milwaukee,30.0,26,9243.17,0.593271,6,1.0,6,balanced,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0377,0.8543
C00005,3,P04678,Honeywell Model 815 Hard Hats,Safety Equipment,Honeywell,46.93,23,12809.06,0.588986,6,1.0,6,balanced,Matches your purchase pattern | Good price match,1.0,0.697,0.0523,0.9276
C00006,1,P04688,Milwaukee Model 728 Hard Hats,Safety Equipment,Milwaukee,44.36,24,12615.0,0.596513,6,1.0,6,balanced,Matches your purchase pattern | Good price match,1.0,0.7273,0.0515,0.9384
C00006,2,P04806,Milwaukee Model 328 Safety Vests,Safety Equipment,Milwaukee,30.0,26,9243.17,0.595304,6,1.0,6,balanced,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0377,0.8679
C00006,3,P04678,Honeywell Model 815 Hard Hats,Safety Equipment,Honeywell,46.93,23,12809.06,0.592128,6,1.0,6,balanced,Matches your purchase pattern | Good price match,1.0,0.697,0.0523,0.9485
C00007,1,P00300,Black+Decker Model 337 Jigsaws,Power Tools,Black+Decker,131.5,27,9991.51,0.621765,5,1.0,5,balanced,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8182,0.0408,0.9998
