customer_id,rank,product_id,product_name,category,brand,price,popularity,total_revenue,final_score,cluster_id,cluster_prob,preferred_cluster,strategy,reasons,cluster_score,popularity_score,revenue_score,price_score
C00001,1,P00052,DeWalt Model 290 Corded Drills,Power Tools,DeWalt,60.86,25,4526.41,0.560453,5,1.0,1,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.7692,0.7576,0.0185,0.9988
C00001,2,P00386,Ryobi Model 280 Sanders,Power Tools,Ryobi,79.88,25,4965.88,0.558213,5,1.0,1,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.7692,0.7576,0.0203,0.9728
C00001,3,P04791,3M Model 595 Respirators,Safety Equipment,3M,77.42,33,33692.37,0.556333,0,1.0,1,popular,Frequently ordered product | Good price match,0.1538,1.0,0.1375,0.9806
C00002,1,P04791,3M Model 595 Respirators,Safety Equipment,3M,77.42,33,33692.37,0.586811,0,1.0,3,popular,Frequently ordered product | Good price match,0.3,1.0,0.1375,0.993
C00002,2,P03968,Carrier Model 919 Duct Tape,HVAC,Carrier,18.1,27,1415.39,0.579093,6,1.0,3,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8,0.8182,0.0058,0.9066
C00002,3,P04806,Milwaukee Model 328 Safety Vests,Safety Equipment,Milwaukee,30.0,26,9243.17,0.575816,6,1.0,3,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8,0.7879,0.0377,0.9312
C00003,1,P03968,Carrier Model 919 Duct Tape,HVAC,Carrier,18.1,27,1415.39,0.618379,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8182,0.0058,0.8995
C00003,2,P04806,Milwaukee Model 328 Safety Vests,Safety Equipment,Milwaukee,30.0,26,9243.17,0.614952,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0377,0.9225
C00003,3,P03872,Rheem Model 637 Air Filters,HVAC,Rheem,19.02,26,1359.97,0.6064,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0056,0.9014
C00004,1,P04791,3M Model 595 Respirators,Safety Equipment,3M,77.42,33,33692.37,0.593703,0,1.0,3,popular,Frequently ordered product | Good price match,0.3333,1.0,0.1375,0.9953
C00004,2,P00452,Black+Decker Model 103 Impact Wrenches,Power Tools,Black+Decker,179.13,29,14062.72,0.589913,5,1.0,3,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.7407,0.8788,0.0574,0.7877
C00004,3,P00300,Black+Decker Model 337 Jigsaws,Power Tools,Black+Decker,131.5,27,9991.51,0.57853,5,1.0,3,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.7407,0.8182,0.0408,0.9495
C00005,1,P04791,3M Model 595 Respirators,Safety Equipment,3M,77.42,33,33692.37,0.627221,0,1.0,6,popular,Frequently ordered product | Good price match,0.5,1.0,0.1375,0.9971
C00005,2,P04806,Milwaukee Model 328 Safety Vests,Safety Equipment,Milwaukee,30.0,26,9243.17,0.608131,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0377,0.8543
C00005,3,P03968,Carrier Model 919 Duct Tape,HVAC,Carrier,18.1,27,1415.39,0.607625,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8182,0.0058,0.792
C00006,1,P04806,Milwaukee Model 328 Safety Vests,Safety Equipment,Milwaukee,30.0,26,9243.17,0.609486,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0377,0.8679
C00006,2,P03968,Carrier Model 919 Duct Tape,HVAC,Carrier,18.1,27,1415.39,0.607895,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8182,0.0058,0.7947
C00006,3,P03872,Rheem Model 637 Air Filters,HVAC,Rheem,19.02,26,1359.97,0.596332,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0056,0.8007
C00007,1,P00452,Black+Decker Model 103 Impact Wrenches,Power Tools,Black+Decker,179.13,29,14062.72,0.652634,5,1.0,5,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8788,0.0574,0.8964
C00007,2,P00300,Black+Decker Model 337 Jigsaws,Power Tools,Black+Decker,131.5,27,9991.51,0.635411,5,1.0,5,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8182,0.0408,0.9998
C00007,3,P00276,DeWalt Model 598 Jigsaws,Power Tools,DeWalt,126.44,26,10882.61,0.623996,5,1.0,5,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0444,0.9996
C00008,1,P00452,Black+Decker Model 103 Impact Wrenches,Power Tools,Black+Decker,179.13,29,14062.72,0.635784,5,1.0,5,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8788,0.0574,0.7279
C00008,2,P00300,Black+Decker Model 337 Jigsaws,Power Tools,Black+Decker,131.5,27,9991.51,0.63153,5,1.0,5,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8182,0.0408,0.961
C00008,3,P04791,3M Model 595 Respirators,Safety Equipment,3M,77.42,33,33692.37,0.623031,0,1.0,5,popular,Frequently ordered product | Good price match,0.5,1.0,0.1375,0.9552
C00009,1,P04791,3M Model 595 Respirators,Safety Equipment,3M,77.42,33,33692.37,0.58421,0,1.0,3,popular,Frequently ordered product | Good price match,0.2857,1.0,0.1375,0.9956
C00009,2,P04806,Milwaukee Model 328 Safety Vests,Safety Equipment,Milwaukee,30.0,26,9243.17,0.576676,6,1.0,3,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8571,0.7879,0.0377,0.8255
C00009,3,P03968,Carrier Model 919 Duct Tape,HVAC,Carrier,18.1,27,1415.39,0.572572,6,1.0,3,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8571,0.8182,0.0058,0.7272
C00010,1,P04806,Milwaukee Model 328 Safety Vests,Safety Equipment,Milwaukee,30.0,26,9243.17,0.616368,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0377,0.9367
C00010,2,P03968,Carrier Model 919 Duct Tape,HVAC,Carrier,18.1,27,1415.39,0.607414,6,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8182,0.0058,0.7899
C00010,3,P04688,Milwaukee Model 728 Hard Hats,Safety Equipment,Milwaukee,44.36,24,12615.0,0.60116,6,1.0,6,popular,Matches your purchase pattern | Good price match,1.0,0.7273,0.0515,0.9995
C00011,1,P00452,Black+Decker Model 103 Impact Wrenches,Power Tools,Black+Decker,179.13,29,14062.72,0.633204,5,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8571,0.8788,0.0574,0.9878
C00011,2,P00300,Black+Decker Model 337 Jigsaws,Power Tools,Black+Decker,131.5,27,9991.51,0.606028,5,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8571,0.8182,0.0408,0.9917
C00011,3,P03908,Carrier Model 699 Thermostats,HVAC,Carrier,235.23,27,21906.43,0.605124,5,1.0,6,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8571,0.8182,0.0894,0.8854
C00012,1,P00452,Black+Decker Model 103 Impact Wrenches,Power Tools,Black+Decker,179.13,29,14062.72,0.611394,5,1.0,1,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8636,0.8788,0.0574,0.7567
C00012,2,P00300,Black+Decker Model 337 Jigsaws,Power Tools,Black+Decker,131.5,27,9991.51,0.60156,5,1.0,1,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8636,0.8182,0.0408,0.934
C00012,3,P00276,DeWalt Model 598 Jigsaws,Power Tools,DeWalt,126.44,26,10882.61,0.591483,5,1.0,1,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.8636,0.7879,0.0444,0.9472
C00013,1,P02499,PPG 1 Gallon Stains,Paints & Coatings,PPG,27.55,21,13303.04,0.559113,1,1.0,1,popular,Matches your purchase pattern | Good price match,1.0,0.6364,0.0543,0.9371
C00013,2,P02654,Valspar 1 Quart Specialty Paints,Paints & Coatings,Valspar,91.7,18,41020.49,0.551328,1,1.0,1,popular,Matches your purchase pattern | Good price match,1.0,0.5455,0.1674,0.9966
C00013,3,P03968,Carrier Model 919 Duct Tape,HVAC,Carrier,18.1,27,1415.39,0.545687,6,1.0,1,popular,Matches your purchase pattern | Frequently ordered product | Good price match,0.625,0.8182,0.0058,0.9226
C00014,1,P00452,Black+Decker Model 103 Impact Wrenches,Power Tools,Black+Decker,179.13,29,14062.72,0.638297,5,1.0,3,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8788,0.0574,0.753
C00014,2,P00300,Black+Decker Model 337 Jigsaws,Power Tools,Black+Decker,131.5,27,9991.51,0.631174,5,1.0,3,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.8182,0.0408,0.9574
C00014,3,P00276,DeWalt Model 598 Jigsaws,Power Tools,DeWalt,126.44,26,10882.61,0.62105,5,1.0,3,popular,Matches your purchase pattern | Frequently ordered product | Good price match,1.0,0.7879,0.0444,0.9701
